888 a a
980 a a
777 a a
666 a a
888 a a
777 a a
999 a a
888 a a
999 a a
777 a a
666 a a
780 a a
900 a a
888 a a
950 a a
980 a a
970 a a
990 a a
995 a a
997 a a
992 a a
993 a a
777 a a
666 a a
555 a a
600 a a
444 a a
333 a a
222 a a
400 a a
350 a a
777 a a
666 a a
888 a a
555 a a
680 a a
670 a a
444 a a
675 a a
668 a a
667 a a
700 a a
710 a a
650 a a
550 a a
660 a a
720 a a
730 a a
715 a a
444 a a
600 a a
580 a a
705 a a
713 a a
500 a a
400 a a
700 a a
600 a a
800 a a
550 a a
650 a a
900 a a
625 a a
675 a a
610 a a
300 a a
200 a a
500 a a
110 a a
250 a a
400 a a
700 a a
260 a a
600 a a
800 a a
550 a a
240 a a
230 a a
